,Roles,Companies,Locations,Requirements
174,ANDROID DEVELOPER,Null,Lagos,"Work with outside data sources and APIs.
Must be a graduate in Computer Science, Engineering or a related fields.
Maintain code integrity and organization."
175,"Learning Specialist, USAID / Nigeria Monitoring, Evaluation,...",Social Impact,Nigeria,"Support data collection efforts from data systems and project-level M&E plans, and conduct original data collection, reviewing, and advising on collection…"
176,Search Engine Optimization (SEO) / Search Engine Marketing (...,Null,Lagos,"Minimum of BSC/HND in Statistics, Computer Science, Computer Engineering or any related computer technology discipline."
177,Programme Planning Specialist,United Nations,Abuja,"Advanced University Degree in Social Sciences, International Relations, Government, Public Administration, Public Policy, Social Policy, Social Development,…"
178,Application Developer,Null,Nigeria,"Attention to details Qualifications and Experience Bachelors Degree (B.S./B.A.), Computer Science or similar 3+ years of application and web application…"
179,eHealth Systems: Information and Technology Manager,Null,Kebbi,"Completes projects by coordinating resources and timetables with user departments and data center.
Education/Experience Minimum of Masters Degree in Information…"
180,Accounts Payable Officer at Promasidor,careersome,Lagos,"BSc in Social Sciences or Accounting.
Supports the accounts payable supervisor with relevant data in preparation of accounts payable flash and other reports."
181,"Program Manager, Schools",Bridge International Academies,Yaba,"Maintain weekly trackers, supervise data collection from field;
You collect data, you analyze it and make decisions with clear justifications."
182,Graduate Trainee Analyst,ASHVILLE CONSULTING,Lagos,"Lead investigations into multiple streams of quality data.
Aerospace & Defense, Aviation & Travel, Pharmaceutical & Life Sciences, Business Services, Consumer…"
183,"Analyst, Customer Insight",Bridge International Academies,Yaba,"Provide guidance and direction to the RAs on data collection, data entry and data quality.
Experience providing guidance to data collection and data entry teams…"
184,"Group Head Of IT, Dangote Cement Plc",Null,Nigeria,"Bachelors degree required in Engineering, Computer or Computer Science.
Masters degree in MBA, IT, CIS, computer science or similar field preferred."
185,"Learning and Knowledge Analytics Manager, GHSC-PSM Nigeria",Panagora Group,Abuja,"Developing and implementing data analyses, data collection systems and other strategies that optimize efficiency and quality."
186,Political Economy Analysis for Human Capital Development - Y...,Options Consultancy Services Ltd,Yobe,"Feeding into discussions on the development of indicators to measure human capital development under the Lafiya logframe, including advising on available data…"
187,Information Management Officer,Null,Nigeria,"Identify and implement practical solutions related to data collection, analysis, and visualization of Migration Management Units activities, in line with best…"
188,Project Manager,COOPI,Gashua,"Master’s degree in Humanitarian/Development Studies/Social Sciences or any related field;
Data collection, analysis, and report writing including post…"
189,Deep Learning Analyst,Xyples LLC,Lagos,"Collaborate with our data scientists to create scalable ML solutions for business problems.
Analyze and extract relevant information from large amounts of…"
190,WEB/APP DESIGNER/DEVELOPER,Null,Lagos,"A Web Developer is responsible for the coding, design and layout of a website according to a company’s specifications."
191,ICT Expert,Null,Abia,"The expert should have a college degree in IT, Computer Science, Engineering, Business Systems, or comparable discipline.
What Impact Will You Make?"
192,Graduate Trainee Programme at The Nigerian National Petroleu...,careersome,Nigeria,"Geology, Geophysics, Physics, Chemistry, Computer Science, Mathematics, Statistics, Environmental Science, Basin Modelling, Surveying and Architecture."
193,Research Technician II (Post-Harvest),International Institute of Tropical Agriculture,Ibadan,"Assist in collating, curating, and uploading all post-harvest phenotyping data to cloud.
National Diploma in Agriculture, Biology, Food Science, or related…"
194,Data Analyst - Talent Sourcing Associate,GOLDIE SERVICES,Lagos,"Acquiring data from primary or secondary data sources and maintaining databases/data systems.
Data Analyst - Talent Sourcing Associate."
195,IT Officer Job at Aquarian Consult Limited,Aquarian Consult Limited,Abuja,"Bachelor's Degree in Information Technology, Computer Science, Information Management Sciences, or relevant discipline.
Create and maintain existing websites."
196,Inventory/Quality Specialist,Edge Recruiter Nigeria,Lagos,"Must have Experience in Manufacturing, Quality, Materials science and Lab science.
Must have HND or Bachelors in a technical science or Engineering degree."
197,ECOWAS Hiring Situation Room Officer (Two Positions),Null,Abia,"Assist in the preparation of meetings Perform any other tasks assigned Qualification and experience A Bachelor of Science degree in any of the Social Science,…"
198,IT Specialist,Maersk,Port Harcourt,Key Responsibilities- Responsible for coordinating physical and soft changes to IT infrastructure via change management process.- Working knowledge of database…
199,Augmented Reality/Virtual Reality Developer,Xyples LLC,Lagos,"Computer Science or Game design degree.
Our focus will be on implementing the best experience for the end-user, pairing your technical background with your…"
200,National Gender & Economic Rehabilitation Officer,Null,Abia,"Ensures humanitarian data is captured as required by the donor;
Education Masters Degree in Economics, Gender and human rights related disciplines, Sociology,…"
201,AWS Certified SysOps Administrator - Associate,Xyples LLC,Lagos,"3+ years’ experience with System Engineering in private and/or public cloud data center environments.
Bachelor's degree in Computer Science, Information…"
202,Data Analyst at Energy360 Africa Limited,careersome,Lagos,"The Data Analyst will work alongside the data warehouse team to provide data related support, data investigation, research, data management and data reporting."
203,Cloud Operations Analyst Job at MainOne Cable,MainOne Cable,Lagos,"Bachelor's Degree in Computer Sciences, Information Management or related engineering field is preferred.
MainOne Cable is a leading facilitator and preferred…"
204,SERVICE DELIVERY COORDINATOR,Ascentech,Lagos,"BSc or equivalent in the fields of Computer Science or Engineering for technical project managers.
Store and sort financial and non-financial data in electronic…"
205,Political Economy Analysis for Human Capital Development - F...,Options Consultancy Services Ltd,Nigeria,"Feeding into discussions on the development of indicators to measure human capital development under the Lafiya logframe, including advising on available data…"
206,CTO needed for Gokada,Adventure Capital,Lagos,"Build quality assurance and data protection processes.
BSc/BA in Computer Science, Engineering or a related field;
Up to date with latest technological trends."
207,Infrastructure & Network Engineer Job at Innovectives,Innovectives,Lagos,"Perform disaster recovery operations and data backups as required.
Bachelor's Degree in Computer Science, Management Information Systems, or related equivalent…"
208,Business Analyst,Dreamlabs,Abuja,"BSc in Science, Engineering or Business Management related courses.
Assists in the collection and consolidation of required information and data."
209,SENIOR VAS ENGINEER,Ascentech,Lagos,"A Bachelor’s degree in Computer Science/Engineering, or Electronic, Telecommunications and any Physical science.
Programming skills (PHP, C,C++ and / Java);"
210,MEDICAL LABORATORY SCIENTIST,Obijackson Foundation,Uruobo-Okija,"Bachelor’s degree in Medical Laboratory Science.
Make use of information technology to accurately record and analyse data, write reports and share results."
